Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0, SCALE
14113240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.190989,0.163590,0.198242,0.000000,0,0.00,198.18,90.00,991.81
14113352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.186960,0.175678,0.193407,0.000000,0,0.00,188.10,90.00,991.81
14113444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.175678,0.186154,0.000000,0,0.00,179.82,90.00,991.81
14113546,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.195018,0.177289,0.000000,0,0.00,170.64,90.00,991.81
14113638,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.182125,0.195824,0.000000,0,0.00,162.36,90.00,991.81
14113750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.157949,0.199048,0.000000,0,0.00,152.28,90.00,991.81
14113842,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.174872,0.186960,0.000000,0,0.00,144.00,90.00,991.81
14113944,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.174066,0.197436,0.000000,0,0.00,134.82,90.00,991.81
14114036,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.190183,0.203077,0.180513,0.000000,0,0.00,126.54,90.00,991.81
14114148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.172454,0.182125,0.000000,0,0.00,116.46,90.00,991.81
14114240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190183,0.163590,0.199048,0.000000,0,0.00,108.18,90.00,991.81
14114342,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.172454,0.184542,0.000000,0,0.00,99.00,90.00,991.81
14114434,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.183736,0.196630,0.000000,0,0.00,90.72,90.00,991.81
14114546,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.196630,0.178095,0.000000,0,0.00,80.64,90.00,991.81
14114648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182930,0.190989,0.180513,0.201465,0.000000,0,0.00,71.46,90.00,991.81
14114740,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.188571,0.203883,0.196630,0.000000,0,0.00,63.18,90.00,991.81
14114832,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.177289,0.183736,0.000000,0,0.00,54.90,90.00,991.81
14114944,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.174066,0.193407,0.000000,0,0.00,44.82,90.00,991.81
14115046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.191795,0.199853,0.182125,0.000000,0,0.00,35.64,90.00,991.81
14115138,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186154,0.178901,0.195018,0.000000,0,0.00,27.36,90.00,991.81
14115240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.164396,0.199048,0.000000,0,0.00,18.18,90.00,991.81
14115352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.186960,0.176484,0.182125,0.000000,0,0.00,8.10,90.00,991.81
14115443,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.175678,0.188571,0.000000,1,0.00,0.00,90.00,991.81
14115534,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.176484,0.182930,0.000000,1,0.00,0.00,90.00,991.81
14115635,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.166007,0.199853,0.000000,1,0.00,0.00,90.00,991.81
14115746,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.195824,0.177289,0.000000,1,0.00,0.00,90.00,991.81
14115847,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.178901,0.196630,0.000000,1,0.00,0.00,90.00,991.81
14115938,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.178095,0.184542,0.000000,1,0.00,0.00,90.00,991.81
14116039,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.178095,0.186960,0.000000,1,0.00,0.00,90.00,991.81
14116150,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.199853,0.193407,0.000000,1,0.00,0.00,90.00,991.81
14116241,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.188571,0.178901,0.196630,0.000000,1,0.00,0.00,90.00,991.81
14116342,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.174066,0.197436,0.000000,1,0.00,0.00,90.00,991.81
14116433,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.178901,0.186154,0.000000,1,0.00,0.00,90.00,991.81
14116544,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.175678,0.192601,0.000000,1,0.00,0.00,90.00,991.81
14116645,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.161172,0.199048,0.000000,1,0.00,0.00,90.00,991.81
14116736,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.189377,0.201465,0.177289,0.000000,1,0.00,0.00,90.00,991.81
14116837,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.182125,0.198242,0.000000,1,0.00,0.00,90.00,991.81
14116948,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.171648,0.183736,0.000000,1,0.00,0.00,90.00,991.81
14117039,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.178095,0.184542,0.000000,1,0.00,0.00,90.00,991.81
14117140,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.189377,0.164396,0.197436,0.000000,1,0.00,0.00,90.00,991.81
14117231,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.188571,0.182125,0.200659,0.000000,1,0.00,0.00,90.00,991.81
